"filename", "language", "JSON", "CSS", "Markdown", "JavaScript", "XML", "HTML", "comment", "blank", "total"
"c:\spices-frontend\README.md", "Markdown", 0, 0, 37, 0, 0, 0, 0, 32, 69
"c:\spices-frontend\package-lock.json", "JSON", 14385, 0, 0, 0, 0, 0, 0, 1, 14386
"c:\spices-frontend\package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 1, 44
"c:\spices-frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\spices-frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\spices-frontend\src\App.css", "CSS", 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\spices-frontend\src\App.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\spices-frontend\src\App.test.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\spices-frontend\src\app\HOC\withLayout.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\spices-frontend\src\app\components\ContactUs\ContactUsContainer.js", "JavaScript", 0, 0, 0, 238, 0, 0, 2, 14, 254
"c:\spices-frontend\src\app\components\Footer.js", "JavaScript", 0, 0, 0, 30, 0, 0, 2, 5, 37
"c:\spices-frontend\src\app\components\FooterDescriptionContainer.js", "JavaScript", 0, 0, 0, 131, 0, 0, 1, 10, 142
"c:\spices-frontend\src\app\components\Header.js", "JavaScript", 0, 0, 0, 91, 0, 0, 2, 12, 105
"c:\spices-frontend\src\app\components\HomePage\HomePageContainer.js", "JavaScript", 0, 0, 0, 80, 0, 0, 0, 7, 87
"c:\spices-frontend\src\app\components\HomePage\SlideShowImage.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 4, 46
"c:\spices-frontend\src\app\components\css\SlideImage.css", "CSS", 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\spices-frontend\src\app\pages\AboutUs.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\spices-frontend\src\app\pages\ContactUs.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\spices-frontend\src\app\pages\HomePage.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\spices-frontend\src\app\pages\Login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\spices-frontend\src\app\pages\Product.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\spices-frontend\src\app\router\Router.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 2, 28
"c:\spices-frontend\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\spices-frontend\src\index.js", "JavaScript", 0, 0, 0, 12, 0, 0, 3, 3, 18
"c:\spices-frontend\src\logo.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\spices-frontend\src\serviceWorker.js", "JavaScript", 0, 0, 0, 98, 0, 0, 31, 13, 142
"c:\spices-frontend\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 4, 1, 6
"Total", "-", 14453, 63, 37, 830, 7, 20, 68, 142, 15620
